,Artists,Titles,Lyrics(BOW)
94,daft punk,get lucky,"['like', 'the', 'legend', 'of', 'the', 'phoenix', 'all', 'end', 'with', 'begin', 'what', 'keep', 'the', 'planet', 'spin', 'the', 'forc', 'from', 'the', 'begin', '(', 'look', ')', 'We', ""'ve"", 'come', 'too', 'far', 'to', 'give', 'up', 'who', 'we', 'are', 'So', 'let', ""'s"", 'rais', 'the', 'bar', 'and', 'our', 'cup', 'to', 'the', 'star', 'she', ""'s"", 'up', 'all', 'night', 'till', 'the', 'sun', 'I', ""'m"", 'up', 'all', 'night', 'to', 'get', 'some', 'she', ""'s"", 'up', 'all', 'night', 'for', 'good', 'fun', 'I', ""'m"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'till', 'the', 'sun', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'some', 'We', ""'re"", 'up', 'all', 'night', 'for', 'good', 'fun', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'the', 'present', 'ha', 'no', 'rhythm', 'your', 'gift', 'keep', 'on', 'give', 'what', 'is', 'thi', 'I', ""'m"", 'feel', '?', 'If', 'you', 'wan', 'na', 'leav', 'I', ""'m"", 'with', 'it', 'We', ""'ve"", 'come', 'too', 'far', 'to', 'give', 'up', 'who', 'we', 'are', 'So', 'let', ""'s"", 'rais', 'the', 'bar', 'and', 'our', 'cup', 'to', 'the', 'star', 'she', ""'s"", 'up', 'all', 'night', 'till', 'the', 'sun', 'I', ""'m"", 'up', 'all', 'night', 'to', 'get', 'some', 'she', ""'s"", 'up', 'all', 'night', 'for', 'good', 'fun', 'I', ""'m"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'till', 'the', 'sun', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'some', 'We', ""'re"", 'up', 'all', 'night', 'for', 'good', 'fun', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', '(', 'togeth', ')', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', '(', 'let', ""'s"", 'get', 'funk', 'again', ')', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'funki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'ve"", 'come', 'too', 'far', 'to', 'give', 'up', 'who', 'we', 'are', 'So', 'let', ""'s"", 'rais', 'the', 'bar', 'and', 'our', 'cup', 'to', 'the', 'star', 'she', ""'s"", 'up', 'all', 'night', 'till', 'the', 'sun', 'I', ""'m"", 'up', 'all', 'night', 'to', 'get', 'some', 'she', ""'s"", 'up', 'all', 'night', 'for', 'good', 'fun', 'I', ""'m"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'till', 'the', 'sun', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'some', 'We', ""'re"", 'up', 'all', 'night', 'for', 'good', 'fun', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki', 'We', ""'re"", 'up', 'all', 'night', 'to', 'get', 'lucki']"
95,earth wind & fire,let's grovve,[]
96,earth wind & fire,boogie wonderland,"['(', 'danc', 'boogi', 'wonderland', 'ah', 'ah', 'danc', 'boogi', 'wonderland', ')', 'midnight', 'creep', 'so', 'slowli', 'into', 'heart', 'Of', 'men', 'who', 'need', 'more', 'than', 'they', 'get', 'daylight', 'deal', 'a', 'bad', 'hand', 'To', 'a', 'woman', 'who', 'ha', 'laid', 'too', 'mani', 'bet', 'the', 'mirror', 'stare', 'you', 'in', 'the', 'face', 'and', 'say', '``', 'babi', 'uh', 'uh', 'it', 'do', ""n't"", 'work', ""''"", 'you', 'say', 'your', 'prayer', 'though', 'you', 'do', ""n't"", 'care', 'you', 'danc', 'and', 'shake', 'the', 'hurt', '(', 'danc', 'boogi', 'wonderland', 'ah', 'ah', 'danc', 'boogi', 'wonderland', ')', 'sound', 'fli', 'through', 'the', 'night', 'I', 'chase', 'my', 'vinyl', 'dream', 'to', 'boogi', 'wonderland', '(', 'I', 'find', 'romanc', 'when', 'I', 'start', 'to', 'danc', 'in', 'boogi', 'wonderland', 'I', 'find', 'romanc', 'when', 'I', 'start', 'to', 'danc', 'in', 'boogi', 'wonderland', ')', '(', 'all', 'the', 'love', 'in', 'the', 'world', 'ca', ""n't"", 'be', 'gone', 'all', 'the', 'need', 'to', 'be', 'love', 'ca', ""n't"", 'be', 'wrong', 'all', 'the', 'record', 'are', 'play', 'and', 'my', 'heart', 'keep', 'say', 'boogi', 'wonderland', 'wonderland', ')', '(', 'danc', 'boogi', 'wonderland', 'ah', 'ah', 'danc', 'boogi', 'wonderland', 'ah', 'ah', ')', '(', 'I', 'find', 'romanc', 'when', 'I', 'start', 'to', 'danc', 'in', 'boogi', 'wonderland', 'I', 'find', 'romanc', 'when', 'I', 'start', 'to', 'danc', 'in', 'boogi', 'wonderland', ')', '(', 'danc', 'boogi', 'wonderland', 'ah', 'ah', 'danc', 'boogi', 'wonderland', 'ah', 'ah', ')', '(', 'hm-hm-hm-hm', 'hm-hm-hm-hm', 'hm-hm-hm-hm', 'wonderland', 'hm-hm-hm-hm', 'hm-hm-hm-hm', 'hm-hm-hm-hm', 'wonderland', 'hm-hm-hm-hm', 'hm-hm-hm-hm', 'hm-hm-hm-hm', ')', '(', 'all', 'the', 'love', 'in', 'the', 'world', 'ca', ""n't"", 'be', 'gone', 'all', 'the', 'need', 'to', 'be', 'love', 'ca', ""n't"", 'be', 'wrong', 'all', 'the', 'record', 'are', 'play', 'and', 'my', 'heart', 'keep', 'say', 'boogi', 'wonderland', 'wonderland', ')', '(', 'danc', 'boogi', 'wonderland', 'ah', 'ah', 'danc', 'boogi', 'wonderland', 'ah', 'ah', ')', '(', 'I', 'find', 'romanc', 'when', 'I', 'start', 'to', 'danc', 'in', 'boogi', 'wonderland', 'I', 'find', 'romanc', 'when', 'I', 'start', 'to', 'danc', 'in', 'boogi', 'wonderland', ')', '(', 'danc', 'boogi', 'wonderland', 'ah', 'ah', 'danc', 'boogi', 'wonderland', 'ah', 'ah', ')']"
97,hall & oates,i can't go for that (no can do),"['easi', 'readi', 'will', 'overtim', 'where', 'doe', 'it', 'stop', 'where', 'do', 'you', 'dare', 'me', 'to', 'draw', 'the', 'line', '?', 'you', 'got', 'the', 'bodi', 'now', 'you', 'want', 'my', 'soul', 'Do', ""n't"", 'even', 'think', 'about', 'it', 'say', 'no', 'go', 'yeah', 'I', 'I', ""'ll"", 'do', 'anyth', 'that', 'you', 'want', 'me', 'to', 'yeah', 'I', ""'ll"", 'do', 'almost', 'anyth', 'that', 'you', 'want', 'me', 'to', 'yeah', 'but', 'I', 'ca', ""n't"", 'go', 'for', 'that', 'No', '(', 'no', ')', 'no', 'can', 'do', 'I', 'ca', ""n't"", 'go', 'for', 'that', 'No', '(', 'no', ')', 'no', 'can', 'do', 'I', 'ca', ""n't"", 'go', 'for', 'that', 'No', '(', 'no', ')', 'no', 'can', 'do', 'I', 'ca', ""n't"", 'go', 'for', 'that', 'ca', ""n't"", 'go', 'for', 'that', 'Ca', ""n't"", 'go', 'for', 'that', 'ca', ""n't"", 'go', 'for', 'that', 'I', 'can', 'go', 'for', 'be', 'twice', 'as', 'nice', 'I', 'can', 'go', 'for', 'just', 'repeat', 'the', 'some', 'old', 'line', 'use', 'the', 'bodi', 'now', 'you', 'want', 'my', 'soul', 'ooh', 'forget', 'about', 'it', 'now', 'say', 'no', 'go', 'yeah', 'I', 'I', ""'ll"", 'do', 'anyth', 'that', 'you', 'want', 'me', 'to', 'yeah', 'I', ""'ll"", 'do', 'almost', 'anyth', 'that', 'you', 'want', 'me', 'to', 'yeah', 'but', 'I', 'ca', ""n't"", 'go', 'for', 'that', 'No', '(', 'no', ')', 'no', 'can', 'do', 'I', 'ca', ""n't"", 'go', 'for', 'that', 'No', '(', 'no', ')', 'no', 'can', 'do', 'I', 'ca', ""n't"", 'go', 'for', 'that', 'No', '(', 'no', ')', 'no', 'can', 'do', 'I', 'ca', ""n't"", 'go', 'for', 'that', 'ca', ""n't"", 'go', 'for', 'that', 'Ca', ""n't"", 'go', 'for', 'that', 'ca', ""n't"", 'go', 'for', 'that', 'yeah', 'yeah', 'I', 'I', ""'ll"", 'do', 'anyth', 'that', 'you', 'want', 'me', 'to', 'yeah', 'I', ""'ll"", 'do', 'almost', 'anyth', 'that', 'you', 'want', 'me', 'to', 'yeah', 'but', 'I', 'ca', ""n't"", 'go', 'for', 'that', 'No', '(', 'no', ')', 'no', 'can', 'do', 'I', 'ca', ""n't"", 'go', 'for', 'that', 'No', '(', 'no', ')', 'no', 'can', 'do', 'I', 'ca', ""n't"", 'go', 'for', 'that', 'No', '(', 'no', ')', 'no', 'can', 'do', 'I', 'ca', ""n't"", 'go', 'for', 'that', 'ca', ""n't"", 'go', 'for', 'that', 'Ca', ""n't"", 'go', 'for', 'that', 'ca', ""n't"", 'go', 'for', 'that', 'yeah', 'No', '(', 'no', ')', 'I', 'ca', ""n't"", 'go', 'no', 'I', 'ca', ""n't"", 'go', 'for', 'that', 'no', 'no', 'no', 'I', 'ca', ""n't"", 'go', 'I', 'ca', ""n't"", 'go', 'No', 'I', 'ca', ""n't"", 'go', 'for', 'that', 'no', 'No', 'can', 'do', '(', 'No', 'can', 'do', ')', 'No', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'No', 'can', 'do', 'Ca', ""n't"", 'go', 'for', 'that', 'yeah', '(', 'No', 'can', 'do', ')', 'No', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'No', 'can', 'do']"
98,yes,owner of a lonely heart,"['move', 'yourself', 'you', 'alway', 'live', 'your', 'life', 'never', 'think', 'of', 'the', 'futur', 'prove', 'yourself', 'you', 'are', 'the', 'move', 'you', 'make', 'take', 'your', 'chanc', 'win', 'or', 'loser', 'see', 'yourself', 'you', 'are', 'the', 'step', 'you', 'take', 'you', 'and', 'you', 'and', 'that', ""'s"", 'the', 'onli', 'way', 'shake', 'shake', 'yourself', 'you', ""'re"", 'everi', 'move', 'you', 'make', 'So', 'the', 'stori', 'goe', 'owner', 'of', 'a', 'lone', 'heart', 'owner', 'of', 'a', 'lone', 'heart', 'much', 'better', 'than', 'a', 'owner', 'of', 'a', 'broken', 'heart', 'owner', 'of', 'a', 'lone', 'heart', 'say', 'you', 'do', ""n't"", 'want', 'to', 'chanc', 'it', 'you', ""'ve"", 'been', 'hurt', 'so', 'befor', 'watch', 'it', 'now', 'the', 'eagl', 'in', 'the', 'sky', 'how', 'he', 'dancin', ""'"", 'one', 'and', 'onli', 'you', 'lose', 'yourself', 'No', 'not', 'for', 'piti', ""'s"", 'sake', 'there', ""'s"", 'no', 'real', 'reason', 'to', 'be', 'lone', 'Be', 'yourself', 'give', 'your', 'free', 'will', 'a', 'chanc', 'you', ""'ve"", 'got', 'to', 'want', 'to', 'succeed', 'owner', 'of', 'a', 'lone', 'heart', 'owner', 'of', 'a', 'lone', 'heart', 'much', 'better', 'than', 'a', 'owner', 'of', 'a', 'broken', 'heart', 'owner', 'of', 'a', 'lone', 'heart', 'owner', 'of', 'a', 'lone', 'heart', 'after', 'my', 'own', 'indecis', 'they', 'confus', 'me', 'so', '(', 'owner', 'of', 'a', 'lone', 'heart', ')', 'My', 'love', 'said', 'never', 'question', 'your', 'will', 'at', 'all', 'In', 'the', 'end', 'you', ""'ve"", 'got', 'to', 'go', 'look', 'befor', 'you', 'leap', '(', 'owner', 'of', 'a', 'lone', 'heart', ')', 'and', 'do', ""n't"", 'you', 'hesit', 'at', 'all', 'no', 'no', 'owner', 'of', 'a', 'lone', 'heart', 'owner', 'of', 'a', 'lone', 'heart', 'much', 'better', 'than', 'a', 'owner', 'of', 'a', 'broken', 'heart', 'owner', 'of', 'a', 'lone', 'heart', 'owner', 'of', 'a', 'lone', 'heart', 'owner', 'of', 'a', 'lone', 'heart', 'much', 'better', 'than', 'a', 'owner', 'of', 'a', 'broken', 'heart', 'owner', 'of', 'a', 'lone', 'heart', 'owner', 'of', 'a', 'lone', 'heart', 'sooner', 'or', 'later', 'each', 'conclus', 'will', 'decid', 'the', 'lone', 'heart', '(', 'owner', 'of', 'a', 'lone', 'heart', ')', 'It', 'will', 'excit', 'it', 'will', 'delight', 'It', 'will', 'give', 'a', 'better', 'start', '(', 'owner', 'of', 'a', 'lone', 'heart', ')', 'Do', ""n't"", 'deceiv', 'your', 'free', 'will', 'at', 'all', 'Do', ""n't"", 'deceiv', 'your', 'free', 'will', 'at', 'all', '(', 'owner', 'of', 'a', 'lone', 'heart', ')', 'Do', ""n't"", 'deceiv', 'your', 'free', 'will', 'at', 'all', 'just', 'receiv', 'it']"
99,supertramp,the logical song,"['when', 'I', 'wa', 'young', 'it', 'seem', 'that', 'life', 'wa', 'so', 'wonder', 'A', 'miracl', 'oh', 'it', 'wa', 'beauti', 'magic', 'and', 'all', 'the', 'bird', 'in', 'the', 'tree', 'well', 'they', ""'d"", 'be', 'sing', 'so', 'happili', 'Oh', 'joy', 'play', 'watch', 'me', 'but', 'then', 'they', 'send', 'me', 'away', 'to', 'teach', 'me', 'how', 'to', 'be', 'sensibl', 'logic', 'oh', 'respons', 'practic', 'and', 'they', 'show', 'me', 'a', 'world', 'where', 'I', 'could', 'be', 'so', 'depend', 'Oh', 'clinic', 'oh', 'intellectu', 'cynic', 'there', 'are', 'time', 'when', 'all', 'the', 'world', ""'s"", 'asleep', 'the', 'question', 'run', 'too', 'deep', 'for', 'such', 'a', 'simpl', 'man', 'Wo', ""n't"", 'you', 'pleas', 'pleas', 'tell', 'me', 'what', 'we', ""'ve"", 'learn', 'I', 'know', 'it', 'sound', 'absurd', 'pleas', 'tell', 'me', 'who', 'I', 'am', 'I', 'said', 'watch', 'what', 'you', 'say', 'or', 'they', ""'ll"", 'be', 'call', 'you', 'a', 'radic', 'liber', 'oh', 'fanat', 'crimin', 'Wo', ""n't"", 'you', 'sign', 'up', 'your', 'name', 'we', ""'d"", 'like', 'to', 'feel', 'you', ""'re"", 'accept', 'respect', 'oh', 'present', 'a', 'veget', '!', 'Oh', 'take', 'it', 'take', 'it', 'yeah', 'but', 'at', 'night', 'when', 'all', 'the', 'world', ""'s"", 'asleep', 'the', 'question', 'run', 'so', 'deep', 'for', 'such', 'a', 'simpl', 'man', 'Wo', ""n't"", 'you', 'pleas', 'tell', 'me', 'what', 'we', ""'ve"", 'learn', 'I', 'know', 'it', 'sound', 'absurd', 'pleas', 'tell', 'me', 'who', 'I', 'am', 'who', 'I', 'am', 'who', 'I', 'am', 'who', 'I', 'am', ""'caus"", 'I', 'wa', 'feel', 'so', 'logic', 'd-d-digit', 'one', 'two', 'three', 'five', 'Oh', 'oh', 'oh', 'oh', 'It', ""'s"", 'get', 'unbeliev']"
100,cat stevens,lady d'arbanville,"['My', 'ladi', ""d'arbanvil"", 'whi', 'do', 'you', 'sleep', 'so', 'still', '?', 'I', ""'ll"", 'wake', 'you', 'tomorrow', 'and', 'you', 'will', 'be', 'my', 'fill', 'ye', 'you', 'will', 'be', 'my', 'fill', 'My', 'ladi', ""d'arbanvil"", 'whi', 'doe', 'it', 'griev', 'me', 'so', '?', 'but', 'your', 'heart', 'seem', 'so', 'silent', 'whi', 'do', 'you', 'breath', 'so', 'low', 'whi', 'do', 'you', 'breath', 'so', 'low', '?', 'My', 'ladi', ""d'arbanvil"", 'whi', 'do', 'you', 'sleep', 'so', 'still', '?', 'I', ""'ll"", 'wake', 'you', 'tomorrow', 'and', 'you', 'will', 'be', 'my', 'fill', 'ye', 'you', 'will', 'be', 'my', 'fill', 'My', 'ladi', ""d'arbanvil"", 'you', 'look', 'so', 'cold', 'tonight', 'your', 'lip', 'feel', 'like', 'winter', 'your', 'skin', 'ha', 'turn', 'to', 'white', 'your', 'skin', 'ha', 'turn', 'to', 'white', 'My', 'ladi', ""d'arbanvil"", 'whi', 'do', 'you', 'sleep', 'so', 'still', '?', 'I', ""'ll"", 'wake', 'you', 'tomorrow', 'and', 'you', 'will', 'be', 'my', 'fill', 'La', 'la', 'la', 'la', 'la', 'la', '...', 'My', 'ladi', ""d'arbanvil"", 'whi', 'doe', 'it', 'griev', 'me', 'so', '?', 'but', 'your', 'heart', 'seem', 'so', 'silent', 'whi', 'do', 'you', 'breath', 'so', 'low', 'whi', 'do', 'you', 'breath', 'so', 'low', '?', 'I', 'love', 'you', 'my', 'ladi', 'though', 'in', 'your', 'grave', 'you', 'lie', 'I', ""'ll"", 'alway', 'be', 'with', 'you', 'thi', 'rose', 'will', 'never', 'die', 'thi', 'rose', 'will', 'never', 'die', 'I', 'love', 'you', 'my', 'ladi', 'though', 'in', 'your', 'grave', 'you', 'lie', 'I', ""'ll"", 'alway', 'be', 'with', 'you', 'thi', 'rose', 'will', 'never', 'die', 'thi', 'rose', 'will', 'never', 'die']"
101,lianne la havas,unstoppable,"['I', ""'ll"", 'wait', 'a', 'littl', 'longer', 'We', ""'re"", 'weak', 'and', 'get', 'stronger', 'I', 'know', 'it', ""'s"", 'take', 'the', 'time', 'to', 'heal', 'We', ""'ll"", 'be', 'unstopp', 'Do', ""n't"", 'know', 'what', 'I', 'did', 'it', 'for', 'I', 'need', 'to', 'know', 'that', 'it', 'wa', 'alway', 'real', 'My', 'hand', 'held', 'high', 'when', 'we', 'walk', 'down', 'the', 'line', 'honey', 'I', ""'m"", 'in', 'awe', 'through', 'the', 'clear', 'night', 'sky', 'let', ""'s"", 'be', 'at', 'peac', 'we', ""'ll"", 'fli', 'our', 'heart', 'collid', 'and', 'escap', 'the', 'magnet', 'side', 'I', 'wa', 'like', 'a', 'satellit', 'spin', 'away', 'almost', 'lost', 'forev', 'and', 'leav', 'no', 'space', 'float', 'through', 'the', 'darkest', 'reach', 'of', 'space', 'To', 'anoth', 'galaxi', 'our', 'polar', 'shift', 'around', 'there', 'is', 'noth', 'els', 'left', 'hold', 'us', 'down', 'but', 'it', ""'s"", 'just', 'gravit', 'We', 'are', 'unstopp', 'I', 'just', 'ca', ""n't"", 'escap', 'the', 'pull', 'We', 'are', 'unstopp', 'It', ""'s"", 'just', 'gravit', 'We', 'are', 'unstopp', 'My', 'hand', 'held', 'high', 'when', 'we', 'walk', 'down', 'the', 'line', 'honey', 'I', ""'m"", 'in', 'awe', 'through', 'the', 'clear', 'night', 'sky', 'let', ""'s"", 'be', 'at', 'peac', 'we', ""'ll"", 'fli', 'our', 'heart', 'collid', 'and', 'escap', 'the', 'magnet', 'side', 'I', 'wa', 'like', 'a', 'satellit', 'spin', 'away', 'almost', 'lost', 'forev', 'and', 'leav', 'no', 'space', 'float', 'through', 'the', 'darkest', 'reach', 'of', 'space', 'To', 'anoth', 'galaxi', 'our', 'polar', 'shift', 'around', 'there', 'is', 'noth', 'els', 'left', 'hold', 'us', 'down', 'but', 'it', ""'s"", 'just', 'gravit', 'We', 'are', 'unstopp', 'I', 'just', 'ca', ""n't"", 'escap', 'the', 'pull', 'We', 'are', 'unstopp', 'It', ""'s"", 'just', 'gravit', 'We', 'are', 'unstopp', 'the', 'star', 'will', 'guid', 'the', 'way', 'In', 'the', 'dead', 'of', 'space', 'you', 'will', 'be', 'my', 'one', 'and', 'onli', 'We', 'are', 'unstopp', 'We', 'are', 'unstopp', 'We', 'are', 'unstopp', 'We', 'are', 'unstopp', 'Oh', 'oh', 'oh', '!', 'the', 'star', 'will', 'guid', 'the', 'way', 'In', 'the', 'dead', 'of', 'space', 'you', 'will', 'be', 'my', 'one', 'and', 'onli']"
102,hiatus kaiyote,the lung,"['cool', 'it', 'out', 'by', 'koolahbah', 'cool', 'it', 'out', 'by', 'koolahbah', 'overrun', 'from', 'the', 'mouth', 'stone', 'A', 'flare', 'cold', 'undercoat', 'bare', 'An', 'appl', 'over', 'head', 'swift', 'courag', 'shoot', 'it', 'down', 'stone', 'A', 'flare', 'cold', 'undercoat', 'bare', 'An', 'appl', 'over', 'head', 'swift', 'courag', 'shoot', 'it', 'down', 'stone', 'A', 'flare', 'cold', 'undercoat', 'bare', 'An', 'appl', 'over', 'head', 'swift', 'courag', 'shoot', 'it', 'down', 'fill', 'the', 'lung', 'that', 'love', 'the', 'phosphoresc', 'absorb', 'time', 'spent', 'on', 'few', 'and', 'all', 'of', 'you', 'I', ""'ll"", 'offer', 'myrrh', 'and', 'murder', 'the', 'prefer', 'method', 'of', 'doubt', 'that', 'sway', 'about', 'heavi', 'and', 'undsound', 'I', 'offer', 'thi', 'smoke', 'from', 'you', 'overrun', 'from', 'the', 'mouth', 'you', 'the', 'truth', 'overrun', 'from', 'the', 'mouth', 'stone', 'A', 'flare', 'cold', 'undecaot', 'bare', 'An', 'appl', 'over', 'head', 'swift', 'courag', 'shoot', 'it', 'down', 'stone', 'A', 'flare', 'cold', 'undecaot', 'bare', 'An', 'appl', 'over', 'head', 'swift', 'courag', 'shoot', 'it', 'down', 'stone', 'A', 'flare', 'cold', 'undecaot', 'bare', 'An', 'appl', 'over', 'head', 'swift', 'courag', 'shoot', 'it', 'down', 'stone', 'A', 'flare', 'cold', 'undecaot', 'bare', 'An', 'appl', 'over', 'head', 'swift', 'courag', 'shoot', 'it', 'down', 'cool', 'it', 'out', 'koolabah', 'quick', 'quick', 'to', 'quick', 'to', 'loos', 'quick', 'to', 'loos', 'your', 'quick', 'to', 'loos', 'your', 'furrow', 'brow', 'quick', 'quick', 'to', 'quick', 'to', 'loos', 'quick', 'to', 'loos', 'your', 'quick', 'to', 'loos', 'your', 'furrow', 'brow', 'quick', 'quick', 'to', 'quick', 'to', 'loos', 'quick', 'to', 'loos', 'your', 'quick', 'to', 'loos', 'your', 'furrow', 'brow', 'quick', 'quick', 'to', 'quick', 'to', 'loos', 'quick', 'to', 'loos', 'your', 'quick', 'to', 'loos', 'your', 'furrow', 'brow']"
103,hiatus kaiyote,jekyll,"['doctor', 'jekyl', 'and', 'mister', 'beanbug', 'and', 'now', 'my', 'hyde', 'again', 'If', 'he', 'comin', ""'"", 'wrappin', ""'"", 'on', 'my', 'door', 'I', ""'m"", 'not', 'gon', 'na', 'answer', 'it', 'I', ""'ve"", 'been', 'grievin', ""'"", 'old', 'fashion', 'at', 'the', 'seed', 'My', 'seemless', 'friend', 'I', ""'ve"", 'been', 'grievin', ""'"", 'old', 'fashion', 'at', 'the', 'seed', 'My', 'seemless', 'friend', 'circl', 'onc', 'rise', 'thi', 'bust', 'ha', 'a', 'rust', 'drive', 'slip', 'your', 'flux', 'right', 'past', 'your', 'fortress', 'We', 'all', 'are', 'born', 'to', 'die', 'We', 'all', 'are', 'born', 'to', 'die', 'yeah', '(', 'Oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', ')', 'x2', '(', 'hey', 'yeh', 'yeh', 'oh', 'oh', ')', 'x16', '(', 'Oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', 'oh', ')', 'x6', 'least', 'thi', 'here', 'now', 'sweet', 'peac', 'of', 'mind', 'awak', 'thi', 'light', 'least', 'thi', 'here', 'now', 'sweet', 'peac', 'of', 'mind', 'alway', 'in', 'flight', 'least', 'thi', 'here', 'now', 'sweet', 'peac', 'of', 'mind', 'awak', 'thi', 'light', 'least', 'thi', 'here', 'now', 'sweet', 'peac', 'of', 'mind', 'alway', 'in', 'flight', 'least', 'thi', 'here', 'now', 'sweet', 'peac', 'of', 'mind', 'awak', 'thi', 'light', 'least', 'thi', 'here', 'now', 'sweet', 'peac', 'of', 'mind', 'alway', 'in', 'flight']"
104,hiatus kaiyote,breathing underwater,"['the', 'word', 'in', 'water', 'matter', 'slowli', 'unwind', 'as', 'I', 'leav', 'feather', 'behind', '(', 'for', 'your', 'love', 'for', 'your', 'lover', 'to', 'fi', 'nd', ')', 'warm', 'hand', 'wrap', 'in', 'blue', 'linen', 'from', 'tuareg', 'sand', '(', 'for', 'your', 'love', 'for', 'your', 'lover', 'to', 'fi', 'nd', ')', 'wild', 'rose', 'jericho', 'sewn', 'arid', 'as', 'stone', '(', 'for', 'your', 'love', 'for', 'your', 'lover', 'to', 'fi', 'nd', ')', 'aorta', 'tattoo', 'the', 'arteri', 'with', 'acut', 'artistri', '(', 'for', 'your', 'love', 'for', 'your', 'lover', 'to', 'fi', 'nd', ')', 'breath', 'underwat', 'breath', 'underwat', 'I', 'could', 'breath', 'you', 'underwat', 'pleasur', 'melt', 'a', 'snowfl', 'ake', 'of', 'lace', 'down', 'your', 'face', '(', 'for', 'your', 'love', 'for', 'your', 'lover', 'to', 'fi', 'nd', ')', 'I', 'could', 'call', 'your', 'demon', 'insid', 'soak', 'them', 'in', 'chamomil', '(', 'for', 'your', 'love', 'for', 'your', 'lover', 'to', 'fi', 'nd', ')', 'breath', 'underwat', 'breath', 'underwat', 'I', 'could', 'breath', 'you', 'underwat', 'for', 'your', 'love', 'for', 'your', 'lover', 'to', 'fi', 'nd', 'breath', 'underwat', 'I', 'want', 'you', 'to', 'breath', 'it', 'in', 'the', 'word', 'in', 'water']"
